a,19.67,0.21,u,g,q,h,0.29,t,t,11,f,g,00080,99,+
b,56.58,18.5,u,g,d,bb,15.0,t,t,17,t,g,00000,0,+
b,39.58,13.915,u,g,w,v,8.625,t,t,6,t,g,00070,0,+
b,67.75,5.5,u,g,e,z,13.0,t,t,1,t,g,00000,0,+
a,20.33,10.0,u,g,c,h,1.0,t,t,4,f,g,00050,1465,+
b,57.42,8.5,u,g,e,h,7.0,t,t,3,f,g,00000,0,+
a,30.0,5.29,u,g,e,dd,2.25,t,t,5,t,g,00099,500,+
b,34.17,9.17,u,g,c,v,4.5,t,t,12,t,g,00000,221,+
a,41.33,1.0,u,g,i,bb,2.25,t,f,0,t,g,00000,300,+
b,42.83,4.625,u,g,q,v,4.58,t,f,0,f,s,00000,0,+
b,34.75,15.0,u,g,r,n,5.375,t,t,9,t,g,00000,134,+
a,68.67,15.0,u,g,e,z,0.0,t,t,14,f,g,00000,3376,+
b,25.17,3.5,u,g,cc,v,0.625,t,t,7,f,g,00000,7059,+
b,47.67,0.29,u,g,c,bb,15.0,t,t,20,f,g,00000,15000,+
b,43.25,3.0,u,g,q,h,6.0,t,t,11,f,g,00080,0,+
b,23.08,2.5,u,g,c,v,1.085,t,t,11,t,g,00060,2184,+
b,48.17,7.625,u,g,w,h,15.5,t,t,12,f,g,00000,790,+
b,44.0,2.0,u,g,m,v,1.75,t,t,2,t,g,00000,15,+
b,34.25,3.0,u,g,cc,h,7.415,t,f,0,t,g,00000,0,+
b,42.75,3.0,u,g,i,bb,1.0,t,f,0,f,g,00000,200,-
b,21.83,0.25,u,g,d,h,0.665,t,f,0,t,g,00000,0,+
b,53.92,9.625,u,g,e,v,8.665,t,t,5,f,g,00000,0,+
b,22.67,1.585,y,p,w,v,3.085,t,t,6,f,g,00080,0,+
a,36.0,1.0,u,g,c,v,2.0,t,t,11,f,g,00000,456,+
a,21.25,2.335,u,g,i,bb,0.5,t,t,4,f,s,00080,0,+
b,27.83,4.0,y,p,i,h,5.75,t,t,2,t,g,00075,0,-
b,76.75,22.29,u,g,e,z,12.75,t,t,1,t,g,00000,109,+
a,20.75,10.25,u,g,q,v,0.71,t,t,2,t,g,00049,0,+
b,19.33,9.5,u,g,q,v,1.0,t,f,0,t,g,00060,400,+
a,33.08,4.625,u,g,q,h,1.625,t,t,2,f,g,00000,0,+
b,59.5,2.75,u,g,w,v,1.75,t,t,5,t,g,00060,58,+
b,31.42,5.0,y,p,aa,v,8.5,t,f,0,f,g,00000,0,-
a,18.83,9.5,u,g,w,v,1.625,t,t,6,t,g,00040,600,+
b,23.17,0.0,u,g,cc,v,0.085,t,f,0,f,g,00000,0,+
a,26.92,13.5,u,g,q,h,5.0,t,t,2,f,g,00000,5000,+
a,60.58,16.5,u,g,q,v,11.0,t,f,0,t,g,00021,10561,+
b,20.5,10.0,y,p,c,v,2.5,t,f,0,f,s,00040,0,+
a,44.33,0.0,u,g,c,v,2.5,t,f,0,f,g,00000,0,+
b,24.83,2.75,u,g,c,v,2.25,t,t,6,f,g,00000,600,+
b,23.25,1.5,u,g,q,v,2.375,t,t,3,t,g,00000,582,+
a,19.17,8.585,u,g,cc,h,0.75,t,t,7,f,g,00096,0,+
b,48.75,26.335,y,p,ff,ff,0.0,t,f,0,t,g,00000,0,-
b,21.33,10.5,u,g,c,v,3.0,t,f,0,t,g,00000,0,+
b,20.17,8.17,u,g,aa,v,1.96,t,t,14,f,g,00060,158,+
a,22.92,11.585,u,g,cc,v,0.04,t,f,0,f,g,00080,1349,+
b,32.75,1.5,u,g,cc,h,5.5,t,t,3,t,g,00000,0,+
b,40.58,5.0,u,g,c,v,5.0,t,t,7,f,g,00000,3065,+
