b,29.75,0.665,u,g,w,v,0.25,f,f,0,t,g,00300,0,-
b,26.25,1.54,u,g,w,v,0.125,f,f,0,f,g,00100,0,-
b,33.0,2.5,y,p,w,v,7.0,f,f,0,t,g,00280,0,-
b,36.17,0.42,y,p,w,v,0.29,f,f,0,t,g,00309,2,-
b,35.75,2.415,u,g,w,v,0.125,f,t,2,f,g,00220,1,-
b,33.67,1.25,u,g,w,v,1.165,f,f,0,f,g,00120,0,-
b,47.17,5.835,u,g,w,v,5.5,f,f,0,f,g,00465,150,-
a,19.58,0.665,u,g,w,v,1.665,f,f,0,f,g,00220,5,-
b,29.5,0.58,u,g,w,v,0.29,f,t,1,f,g,00340,2803,-
a,24.83,4.5,u,g,w,v,1.0,f,f,0,t,g,00360,6,-
b,34.83,2.5,y,p,w,v,3.0,f,f,0,f,s,00200,0,-
a,23.75,0.71,u,g,w,v,0.25,f,t,1,t,g,00240,4,-
a,30.42,1.375,u,g,w,h,0.04,f,t,3,f,g,00000,33,-
b,36.17,18.125,u,g,w,v,0.085,f,f,0,f,g,00320,3552,-
b,21.25,1.5,u,g,w,v,1.5,f,f,0,f,g,00150,8,+
a,27.67,2.04,u,g,w,v,0.25,f,f,0,t,g,00180,50,-
b,41.17,1.25,y,p,w,v,0.25,f,f,0,f,g,00000,195,-
b,16.0,3.125,u,g,w,v,0.085,f,t,1,f,g,00000,6,-
b,25.42,0.54,u,g,w,v,0.165,f,t,1,f,g,00272,444,-
b,22.0,0.79,u,g,w,v,0.29,f,t,1,f,g,00420,283,-
b,17.58,10.0,u,g,w,h,0.165,f,t,1,f,g,00120,1,-
a,23.5,1.5,u,g,w,v,0.875,f,f,0,t,g,00160,0,-
b,29.42,1.25,u,g,w,v,1.75,f,f,0,f,g,00200,0,-
b,31.08,1.5,y,p,w,v,0.04,f,f,0,f,s,00160,0,-
