b,26.92,2.25,u,g,i,bb,0.5,f,f,0,t,g,00640,4000,-
b,34.83,4.0,y,p,i,v,0.085,f,f,0,t,g,00411,0,-
b,26.67,14.585,u,g,i,bb,0.0,f,f,0,t,g,00178,0,-
b,34.0,5.085,y,p,i,bb,1.085,f,f,0,t,g,00480,0,-
a,22.67,0.79,u,g,i,v,0.085,f,f,0,f,g,00144,0,-
a,51.92,6.5,u,g,i,bb,3.085,f,f,0,t,g,00073,0,-
b,36.67,2.0,u,g,i,v,0.25,f,f,0,t,g,00221,0,-
b,34.42,1.335,u,g,i,bb,0.125,f,f,0,t,g,00440,4500,-
a,19.17,5.415,u,g,i,h,0.29,f,f,0,f,g,00080,484,-
a,48.17,1.335,u,g,i,o,0.335,f,f,0,f,g,00000,120,-
b,20.0,3.0,y,p,i,bb,7.0,f,f,0,f,g,00000,1,-
b,16.33,4.085,u,g,i,h,0.415,f,f,0,t,g,00120,0,-
b,34.17,2.75,u,g,i,bb,2.5,f,f,0,t,g,00232,200,-
b,22.17,2.25,u,g,i,v,0.125,f,f,0,f,g,00160,10,-
b,17.42,6.5,u,g,i,v,0.125,f,f,0,f,g,00060,100,-
a,22.5,0.415,u,g,i,v,0.335,f,f,0,t,s,00144,0,-
a,37.33,2.5,u,g,i,h,0.21,f,f,0,f,g,00260,246,-
b,39.17,2.5,y,p,i,h,10.0,f,f,0,t,s,00200,0,-
b,22.67,0.75,u,g,i,v,1.585,f,t,1,t,g,00400,9,-
b,19.17,4.0,y,p,i,v,1.0,f,f,0,t,g,00360,1000,-
b,33.75,2.75,u,g,i,bb,0.0,f,f,0,f,g,00180,0,-
b,35.0,2.5,u,g,i,v,1.0,f,f,0,t,g,00210,0,-
b,43.17,5.0,u,g,i,bb,2.25,f,f,0,t,g,00141,0,-
b,21.08,4.125,y,p,i,h,0.04,f,f,0,f,g,00140,100,-
b,22.0,7.835,y,p,i,bb,0.165,f,f,0,t,g,00080,0,-
b,23.58,0.835,u,g,i,h,0.085,f,f,0,t,g,00220,5,-
b,33.58,0.25,u,g,i,bb,4.0,f,f,0,t,s,00420,0,-
b,40.58,1.5,u,g,i,bb,0.0,f,f,0,f,s,00300,0,-
a,20.75,9.54,u,g,i,v,0.04,f,f,0,f,g,00200,1000,-
a,34.83,1.25,y,p,i,h,0.5,f,f,0,t,g,00160,0,-
a,16.92,0.5,u,g,i,v,0.165,f,t,6,t,g,00240,35,-
b,48.08,3.75,u,g,i,bb,1.0,f,f,0,f,g,00100,2,-
