a,25.25,12.5,u,g,d,v,1.0,f,f,0,t,g,00180,1062,-
b,26.75,2.0,u,g,d,v,0.75,f,f,0,t,g,00080,0,-
b,29.25,13.0,u,g,d,h,0.5,f,f,0,f,g,00228,0,-
b,32.42,3.0,u,g,d,v,0.165,f,f,0,t,g,00120,0,-
b,41.17,1.335,u,g,d,v,0.165,f,f,0,f,g,00168,0,-
b,32.33,0.04,y,p,d,v,4.25,f,f,0,t,g,00460,0,-
b,32.75,2.335,u,g,d,h,5.75,f,f,0,t,g,00292,0,-
b,30.33,0.5,u,g,d,h,0.085,f,f,0,t,s,00252,0,-
b,52.42,1.5,u,g,d,v,3.75,f,f,0,t,g,00000,350,-
b,18.25,0.165,u,g,d,v,0.25,f,f,0,t,s,00280,0,-
a,18.58,10.0,u,g,d,v,0.415,f,f,0,f,g,00080,42,-
b,20.0,0.0,u,g,d,v,0.5,f,f,0,f,g,00144,0,-
b,18.58,5.71,u,g,d,v,0.54,f,f,0,f,g,00120,0,-
a,32.0,6.0,u,g,d,v,1.25,f,f,0,f,g,00272,0,-
b,27.83,1.0,y,p,d,h,3.0,f,f,0,f,g,00176,537,-
