b,24.08,9.0,u,g,aa,v,0.25,f,f,0,t,g,00000,0,-
b,22.58,1.5,y,p,aa,v,0.54,f,f,0,t,g,00120,67,-
a,16.0,0.165,u,g,aa,v,1.0,f,t,2,t,g,00320,1,-
a,22.75,6.165,u,g,aa,v,0.165,f,f,0,f,g,00220,1000,-
a,38.92,1.665,u,g,aa,v,0.25,f,f,0,f,g,00000,390,-
b,28.58,3.625,u,g,aa,v,0.25,f,f,0,t,g,00100,0,-
b,31.58,0.75,y,p,aa,v,3.5,f,f,0,t,g,00320,0,-
b,16.33,2.75,u,g,aa,v,0.665,f,t,1,f,g,00080,21,-
b,16.25,0.0,y,p,aa,v,0.25,f,f,0,f,g,00060,0,-
b,24.5,13.335,y,p,aa,v,0.04,f,f,0,t,g,00120,475,-
b,28.17,0.585,u,g,aa,v,0.04,f,f,0,f,g,00260,1004,-
a,50.25,0.835,u,g,aa,v,0.5,f,f,0,t,g,00240,117,-
b,25.25,1.0,u,g,aa,v,0.5,f,f,0,f,g,00200,0,-
a,41.58,1.04,u,g,aa,v,0.665,f,f,0,f,g,00240,237,-
b,32.92,2.5,u,g,aa,v,1.75,f,t,2,t,g,00720,0,-
b,42.75,4.085,u,g,aa,v,0.04,f,f,0,f,g,00108,100,-
b,22.25,9.0,u,g,aa,v,0.085,f,f,0,f,g,00000,0,-
a,52.5,7.0,u,g,aa,h,3.0,f,f,0,f,g,00000,0,-
