b,20.42,1.835,u,g,c,v,2.25,t,t,1,f,g,00100,150,+
b,21.5,9.75,u,g,c,v,0.25,t,f,0,f,g,00140,0,-
b,39.5,4.25,u,g,c,bb,6.5,t,t,16,f,g,00117,1210,+
b,26.67,1.75,y,p,c,v,1.0,t,t,5,t,g,00160,5777,+
a,15.83,0.585,u,g,c,h,1.5,t,t,2,f,g,00100,0,+
b,20.67,1.25,y,p,c,h,1.375,t,t,3,t,g,00140,210,-
b,23.25,4.0,u,g,c,bb,0.25,t,f,0,t,g,00160,0,+
b,28.25,5.04,y,p,c,bb,1.5,t,t,8,t,g,00144,7,+
a,19.75,0.75,u,g,c,v,0.795,t,t,5,t,g,00140,5,-
b,33.17,3.04,y,p,c,h,2.04,t,t,1,t,g,00180,18027,+
b,63.33,0.54,u,g,c,v,0.585,t,t,3,t,g,00180,0,-
b,62.5,12.75,y,p,c,h,5.0,t,f,0,f,g,00112,0,-
b,37.5,1.75,y,p,c,bb,0.25,t,f,0,t,g,00164,400,-
